CustomerID,Tenure,MonthlyCharges,Contract,InternetService,Churn
C0705,3,79,Two year,Fiber,No
C0706,23,33,Two year,Fiber,No
C0707,18,94,One year,Fiber,No
C0708,38,101,Two year,Fiber,No
C0709,15,31,Two year,DSL,No
C0710,64,106,One year,Fiber,No
C0711,28,31,One year,Fiber,No
C0712,39,32,One year,Fiber,No
C0713,57,44,Month-to-month,DSL,No
C0714,17,64,One year,None,No
C0715,44,38,Month-to-month,DSL,No
C0716,25,74,Month-to-month,DSL,No
C0717,17,119,Month-to-month,Fiber,Yes
C0718,13,64,Month-to-month,DSL,Yes
C0719,25,27,Month-to-month,Fiber,No
C0720,68,112,Month-to-month,Fiber,No
C0721,10,72,One year,DSL,No
C0722,67,74,Month-to-month,None,No
C0723,18,51,Two year,Fiber,No
C0724,34,70,Month-to-month,DSL,No
C0725,8,63,Month-to-month,DSL,Yes
C0726,40,101,One year,Fiber,No
C0727,42,89,One year,Fiber,No
C0728,41,37,Month-to-month,Fiber,No
C0729,6,102,Two year,Fiber,No
C0730,52,41,Two year,Fiber,No
C0731,26,56,Month-to-month,Fiber,No
C0732,64,115,Month-to-month,Fiber,No
C0733,59,75,Two year,DSL,No
C0734,56,78,One year,DSL,No
C0735,59,22,Month-to-month,None,No
C0736,70,47,Two year,Fiber,No
C0737,33,93,Month-to-month,DSL,No
C0738,53,54,Month-to-month,None,No
C0739,22,80,Month-to-month,DSL,No
C0740,21,112,One year,Fiber,No
C0741,70,73,One year,DSL,No
C0742,70,82,One year,Fiber,No
C0743,4,98,Month-to-month,Fiber,Yes
C0744,62,116,Month-to-month,DSL,No
C0745,62,26,Month-to-month,DSL,No
C0746,24,95,One year,Fiber,No
C0747,55,68,Month-to-month,None,No
C0748,9,113,Month-to-month,DSL,Yes
C0749,3,104,Two year,Fiber,No
C0750,31,50,Month-to-month,None,No
C0751,40,77,Two year,Fiber,No
C0752,36,80,Month-to-month,None,No
C0753,24,43,One year,DSL,No
C0754,6,39,Month-to-month,Fiber,No
C0755,66,56,Two year,DSL,No
C0756,4,23,Month-to-month,DSL,No
C0757,6,111,Month-to-month,DSL,Yes
C0758,51,39,Month-to-month,None,No
C0759,62,79,Month-to-month,DSL,No
C0760,57,43,Month-to-month,DSL,No
C0761,66,69,Two year,None,No
C0762,8,68,Month-to-month,DSL,Yes
C0763,26,70,One year,Fiber,No
C0764,51,115,One year,None,No
C0765,45,55,One year,Fiber,No
C0766,44,117,Month-to-month,DSL,No
C0767,5,119,Month-to-month,None,Yes
C0768,70,85,One year,DSL,No
C0769,26,98,Two year,DSL,No
C0770,68,53,Month-to-month,DSL,No
C0771,19,55,Month-to-month,Fiber,No
C0772,20,25,Month-to-month,None,No
C0773,12,58,Two year,Fiber,No
C0774,47,61,Month-to-month,Fiber,No
C0775,1,77,Month-to-month,Fiber,Yes
C0776,14,31,Two year,DSL,No
C0777,64,22,Month-to-month,DSL,No
C0778,38,37,Month-to-month,DSL,No
C0779,37,59,One year,Fiber,No
C0780,11,40,Two year,Fiber,No
C0781,3,34,Month-to-month,Fiber,No
C0782,33,116,Month-to-month,Fiber,No
C0783,6,118,Month-to-month,DSL,Yes
C0784,50,45,Month-to-month,Fiber,No
C0785,10,27,One year,Fiber,No
C0786,5,119,Month-to-month,Fiber,Yes
C0787,23,113,Month-to-month,Fiber,No
C0788,10,106,Month-to-month,Fiber,Yes
C0789,44,61,One year,Fiber,No
C0790,2,63,Month-to-month,DSL,Yes
C0791,13,33,Two year,DSL,No
C0792,40,97,Month-to-month,DSL,No
C0793,2,21,Two year,None,No
C0794,65,56,Two year,Fiber,No
C0795,63,88,Month-to-month,DSL,No
C0796,17,57,Month-to-month,None,No
C0797,9,60,Month-to-month,Fiber,No
C0798,15,81,Month-to-month,None,Yes
C0799,24,79,Month-to-month,Fiber,No
C0800,38,33,Month-to-month,Fiber,No
C0801,35,108,Month-to-month,Fiber,No
C0802,49,103,Two year,DSL,No
C0803,69,21,Month-to-month,DSL,No
C0804,62,89,Two year,DSL,No
C0805,60,36,Month-to-month,Fiber,No
C0806,50,108,Two year,Fiber,No
C0807,9,47,One year,Fiber,No
C0808,34,85,Month-to-month,Fiber,No
C0809,35,54,One year,None,No
C0810,1,120,Month-to-month,Fiber,Yes
C0811,40,24,Month-to-month,DSL,No
C0812,64,84,Two year,DSL,No
C0813,22,59,Month-to-month,Fiber,No
C0814,60,95,Month-to-month,DSL,No
C0815,64,75,One year,Fiber,No
C0816,72,55,Two year,Fiber,No
C0817,11,64,One year,Fiber,No
C0818,14,42,Month-to-month,DSL,No
C0819,60,66,One year,Fiber,No
C0820,30,50,Month-to-month,DSL,No
C0821,35,30,One year,DSL,No
C0822,37,29,Two year,Fiber,No
C0823,5,86,One year,DSL,No
C0824,26,33,Two year,DSL,No
C0825,62,99,Month-to-month,Fiber,No
C0826,4,93,One year,Fiber,No
C0827,42,112,Two year,DSL,No
C0828,18,29,Month-to-month,Fiber,No
C0829,40,95,Two year,DSL,No
C0830,72,113,Month-to-month,Fiber,No
C0831,39,20,One year,Fiber,No
C0832,14,24,Two year,Fiber,No
C0833,32,39,One year,Fiber,No
C0834,51,27,Month-to-month,DSL,No
C0835,38,62,One year,Fiber,No
C0836,23,95,Month-to-month,DSL,No
C0837,63,20,Two year,None,No
C0838,15,76,Month-to-month,DSL,Yes
C0839,25,83,Month-to-month,DSL,No
C0840,17,103,One year,Fiber,No
C0841,66,47,Month-to-month,Fiber,No
C0842,53,56,One year,DSL,No
C0843,51,66,One year,Fiber,No
C0844,39,120,Two year,DSL,No
C0845,51,95,One year,Fiber,No
C0846,70,56,Month-to-month,DSL,No
C0847,6,68,Month-to-month,None,Yes
C0848,67,63,Month-to-month,None,No
C0849,7,75,Month-to-month,DSL,Yes
C0850,51,47,Month-to-month,DSL,No
C0851,72,98,One year,DSL,No
C0852,42,25,One year,DSL,No
C0853,64,80,Month-to-month,Fiber,No
C0854,15,39,Two year,Fiber,No
C0855,29,97,Two year,Fiber,No
C0856,33,21,Two year,None,No
C0857,27,92,One year,Fiber,No
C0858,36,56,Month-to-month,DSL,No
C0859,29,39,Month-to-month,DSL,No
C0860,38,45,Month-to-month,DSL,No
C0861,57,48,Month-to-month,DSL,No
C0862,27,20,Two year,Fiber,No
C0863,55,54,Two year,DSL,No
C0864,33,89,Month-to-month,DSL,No
C0865,68,120,Month-to-month,Fiber,No
C0866,66,78,Two year,Fiber,No
C0867,10,88,Month-to-month,DSL,Yes
C0868,5,52,Month-to-month,DSL,No
C0869,38,70,Two year,Fiber,No
C0870,13,97,Month-to-month,DSL,Yes
C0871,31,31,Month-to-month,DSL,No
C0872,47,39,Month-to-month,Fiber,No
C0873,52,72,Two year,None,No
C0874,56,107,One year,DSL,No
C0875,15,62,Month-to-month,DSL,Yes
C0876,29,117,Month-to-month,DSL,No
C0877,8,108,Month-to-month,Fiber,Yes
C0878,5,69,One year,Fiber,No
C0879,29,48,One year,Fiber,No
C0880,47,76,Month-to-month,Fiber,No
C0881,68,58,Two year,Fiber,No
C0882,45,114,Month-to-month,None,No
C0883,2,75,Month-to-month,DSL,Yes
C0884,27,62,Month-to-month,DSL,No
C0885,36,69,Month-to-month,None,No
C0886,36,42,Month-to-month,DSL,No
C0887,26,63,Month-to-month,Fiber,No
C0888,43,57,Month-to-month,Fiber,No
C0889,27,103,One year,DSL,No
C0890,69,42,Month-to-month,DSL,No
C0891,20,64,One year,Fiber,No
C0892,11,71,Two year,DSL,No
C0893,38,99,Month-to-month,Fiber,No
C0894,6,69,Month-to-month,DSL,Yes
C0895,72,27,Month-to-month,DSL,No
C0896,23,104,Month-to-month,DSL,No
C0897,47,20,Month-to-month,None,No
C0898,46,27,One year,DSL,No
C0899,12,48,One year,None,No
C0900,13,115,Month-to-month,None,Yes
C0901,62,24,Two year,DSL,No
C0902,60,105,Month-to-month,DSL,No
C0903,43,66,Two year,Fiber,No
C0904,68,53,One year,Fiber,No
C0905,5,84,One year,DSL,No
C0906,37,74,Month-to-month,Fiber,No
C0907,72,109,Month-to-month,Fiber,No
C0908,31,62,Two year,None,No
C0909,9,93,Month-to-month,None,Yes
C0910,51,49,Two year,DSL,No
C0911,29,101,Month-to-month,Fiber,No
C0912,40,36,Month-to-month,Fiber,No
C0913,41,45,Month-to-month,Fiber,No
C0914,11,27,Month-to-month,Fiber,No
C0915,23,66,Two year,Fiber,No
C0916,1,95,Month-to-month,Fiber,Yes
C0917,46,110,Month-to-month,None,No
C0918,21,91,Month-to-month,DSL,No
C0919,36,108,Month-to-month,Fiber,No
C0920,54,65,Month-to-month,Fiber,No
C0921,57,87,Month-to-month,DSL,No
C0922,1,52,Two year,Fiber,No
C0923,63,20,Month-to-month,None,No
C0924,54,38,Month-to-month,Fiber,No
C0925,55,50,Month-to-month,Fiber,No
C0926,40,99,Month-to-month,Fiber,No
C0927,15,33,Two year,Fiber,No
C0928,21,72,Month-to-month,DSL,No
C0929,47,67,Month-to-month,DSL,No
C0930,53,88,One year,DSL,No
C0931,9,109,Month-to-month,Fiber,Yes
C0932,52,81,Month-to-month,DSL,No
C0933,57,111,Two year,DSL,No
C0934,26,85,One year,None,No
C0935,41,83,Two year,Fiber,No
C0936,35,89,Month-to-month,Fiber,No
C0937,63,82,Month-to-month,DSL,No
C0938,25,92,Month-to-month,DSL,No
C0939,38,52,Month-to-month,Fiber,No
C0940,2,60,Two year,Fiber,No
C0941,7,108,Month-to-month,Fiber,Yes
C0942,34,67,Two year,None,No
C0943,17,32,One year,Fiber,No
C0944,43,92,Month-to-month,None,No
C0945,59,96,Month-to-month,DSL,No
C0946,51,50,One year,None,No
C0947,54,94,Month-to-month,DSL,No
C0948,24,87,Two year,Fiber,No
C0949,25,117,Month-to-month,None,No
C0950,71,23,Month-to-month,Fiber,No
C0951,52,38,One year,None,No
C0952,70,89,Two year,DSL,No
C0953,33,117,Month-to-month,Fiber,No
C0954,49,101,Two year,DSL,No
C0955,29,32,Month-to-month,None,No
C0956,63,42,One year,Fiber,No
C0957,22,102,One year,DSL,No
C0958,26,94,Month-to-month,DSL,No
C0959,28,20,Month-to-month,DSL,No
C0960,49,107,One year,Fiber,No
C0961,71,73,Month-to-month,Fiber,No
C0962,49,90,One year,Fiber,No
C0963,20,108,Month-to-month,DSL,No
C0964,63,104,Two year,Fiber,No
C0965,61,34,One year,None,No
C0966,49,84,Two year,Fiber,No
C0967,71,95,Month-to-month,DSL,No
C0968,1,90,One year,Fiber,No
C0969,13,34,One year,Fiber,No
C0970,51,40,Month-to-month,Fiber,No
C0971,56,38,Month-to-month,Fiber,No
C0972,62,79,Month-to-month,DSL,No
C0973,32,112,One year,None,No
C0974,30,108,Month-to-month,DSL,No
C0975,29,52,Month-to-month,None,No
C0976,49,68,One year,None,No
C0977,45,115,Month-to-month,DSL,No
C0978,30,54,Month-to-month,DSL,No
C0979,16,63,Two year,DSL,No
C0980,40,109,Two year,Fiber,No
C0981,19,30,Month-to-month,DSL,No
C0982,18,118,Month-to-month,Fiber,No
C0983,1,91,One year,DSL,No
C0984,47,97,Month-to-month,DSL,No
C0985,66,93,Month-to-month,Fiber,No
C0986,38,85,Month-to-month,Fiber,No
C0987,51,65,Month-to-month,None,No
C0988,63,28,One year,DSL,No
C0989,4,22,Month-to-month,Fiber,No
C0990,1,104,One year,DSL,No
C0991,8,45,Two year,DSL,No
C0992,29,91,Month-to-month,DSL,No
C0993,55,67,One year,None,No
C0994,3,85,Two year,DSL,No
C0995,32,89,Month-to-month,Fiber,No
C0996,10,47,Month-to-month,DSL,No
C0997,34,112,One year,None,No
C0998,55,45,One year,Fiber,No
C0999,32,44,Two year,Fiber,No
C1000,50,31,Month-to-month,Fiber,No
